dim,Atlas,ROI
113,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,16
114,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,17
115,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,18
116,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,19
117,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,20
118,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,21
119,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,22
120,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,23
121,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,24
122,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,25
123,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,26
124,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,27
125,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,28
126,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,29
127,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,30
128,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,31
129,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,32
130,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,33
131,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,34
132,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,35
133,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,36
134,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,37
135,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,38
136,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,39
137,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,40
138,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,41
139,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,42
140,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,43
141,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,44
142,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,45
143,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,46
144,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,47
145,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,48
146,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,49
147,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,50
148,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,51
149,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,52
150,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,53
151,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,54
152,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,55
153,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,56
154,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,57
155,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,58
156,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,59
157,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,60
158,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,61
159,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,62
160,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,63
161,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,64
162,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,65
163,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,66
164,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,67
165,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,68
166,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,69
167,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,70
168,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,71
169,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,72
170,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,73
171,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,74
172,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,75
173,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,76
174,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,77
175,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,78
176,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,80
177,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,81
178,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,82
179,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,83
180,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,84
181,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,85
182,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,86
183,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,87
184,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,88
185,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,89
186,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,90
187,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,91
188,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,92
189,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,93
190,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,94
191,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,95
192,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,96
193,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,100
194,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,101
195,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,102
196,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,103
197,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,104
198,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,115
199,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,116
200,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,1
201,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,2
202,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,3
203,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,4
204,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,5
205,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,6
206,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,7
207,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,8
208,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,9
209,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,10
210,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,11
211,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,12
212,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,13
213,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,14
214,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,15
215,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,16
216,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,17
217,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,18
218,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,19
219,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,20
220,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,21
221,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,22
222,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,23
223,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,24
224,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,25
225,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,26
226,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,27
227,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,28
228,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,29
229,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,30
230,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,31
231,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,32
232,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,33
233,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,34
234,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,37
235,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,38
236,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,39
237,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,40
238,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,41
239,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,42
240,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,43
241,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,44
242,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,45
243,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,46
244,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,47
245,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,48
246,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,49
247,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,50
248,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,51
249,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,52
250,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,53
251,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,54
252,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,55
253,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,56
254,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,57
255,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,58
256,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,59
257,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,60
258,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,61
259,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,62
260,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,63
261,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,64
262,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,65
263,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,66
264,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,67
265,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,68
266,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,69
267,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,70
268,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,71
269,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,72
270,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,73
271,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,74
272,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,75
273,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,77
274,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,78
275,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,80
276,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,83
277,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,84
278,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,85
279,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,86
280,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,87
281,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,88
282,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,89
283,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,90
284,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,91
285,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,92
286,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,93
287,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,94
288,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,95
289,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,96
290,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,100
291,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,101
292,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,102
293,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,103
294,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,104
295,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,115
296,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,116
297,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,122
298,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,123
299,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,124
300,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,125
301,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,126
302,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,127
303,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,128
304,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,129
305,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,130
306,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,131
307,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,132
308,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,133
309,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,134
310,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,135
311,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,136
312,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,137
313,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,138
314,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,139
315,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,140
316,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,141
317,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,142
318,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,143
319,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,144
320,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,145
321,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,146
322,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,147
323,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,148
324,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,149
325,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,150
326,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,151
327,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,152
328,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,153
329,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,154
330,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,155
331,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,156
332,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,157
333,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,158
334,mesh.intensity_AAL3v1.Template_T1_IXI555_MNI152_GS,164
335,mesh.intensity_AICHA_reordered.Template_T1_IXI555_MNI152_GS,1
336,mesh.intensity_AICHA_reordered.Template_T1_IXI555_MNI152_GS,2
337,mesh.intensity_AICHA_reordered.Template_T1_IXI555_MNI152_GS,3
338,mesh.intensity_AICHA_reordered.Template_T1_IXI555_MNI152_GS,4
339,mesh.intensity_AICHA_reordered.Template_T1_IXI555_MNI152_GS,5
340,mesh.intensity_AICHA_reordered.Template_T1_IXI555_MNI152_GS,6
341,mesh.intensity_AICHA_reordered.Template_T1_IXI555_MNI152_GS,7
342,mesh.intensity_AICHA_reordered.Template_T1_IXI555_MNI152_GS,8
343,mesh.intensity_AICHA_reordered.Template_T1_IXI555_MNI152_GS,9
344,mesh.intensity_AICHA_reordered.Template_T1_IXI555_MNI152_GS,10
345,mesh.intensity_AICHA_reordered.Template_T1_IXI555_MNI152_GS,11
346,mesh.intensity_AICHA_reordered.Template_T1_IXI555_MNI152_GS,12
347,mesh.intensity_AICHA_reordered.Template_T1_IXI555_MNI152_GS,13
348,mesh.intensity_AICHA_reordered.Template_T1_IXI555_MNI152_GS,14
349,mesh.intensity_AICHA_reordered.Template_T1_IXI555_MNI152_GS,15
350,mesh.intensity_AICHA_reordered.Template_T1_IXI555_MNI152_GS,16
351,mesh.intensity_AICHA_reordered.Template_T1_IXI555_MNI152_GS,17
352,mesh.intensity_AICHA_reordered.Template_T1_IXI555_MNI152_GS,18
353,mesh.intensity_AICHA_reordered.Template_T1_IXI555_MNI152_GS,19
354,mesh.intensity_AICHA_reordered.Template_T1_IXI555_MNI152_GS,20
355,mesh.intensity_AICHA_reordered.Template_T1_IXI555_MNI152_GS,21
356,mesh.intensity_AICHA_reordered.Template_T1_IXI555_MNI152_GS,22
357,mesh.intensity_AICHA_reordered.Template_T1_IXI555_MNI152_GS,23
358,mesh.intensity_AICHA_reordered.Template_T1_IXI555_MNI152_GS,24
359,mesh.intensity_AICHA_reordered.Template_T1_IXI555_MNI152_GS,25
360,mesh.intensity_AICHA_reordered.Template_T1_IXI555_MNI152_GS,26
361,mesh.intensity_AICHA_reordered.Template_T1_IXI555_MNI152_GS,27
362,mesh.intensity_AICHA_reordered.Template_T1_IXI555_MNI152_GS,28
363,mesh.intensity_AICHA_reordered.Template_T1_IXI555_MNI152_GS,29
364,mesh.intensity_AICHA_reordered.Template_T1_IXI555_MNI152_GS,30
365,mesh.intensity_AICHA_reordered.Template_T1_IXI555_MNI152_GS,31
366,mesh.intensity_AICHA_reordered.Template_T1_IXI555_MNI152_GS,32
367,mesh.intensity_AICHA_reordered.Template_T1_IXI555_MNI152_GS,33
368,mesh.intensity_AICHA_reordered.Template_T1_IXI555_MNI152_GS,34
369,mesh.intensity_AICHA_reordered.Template_T1_IXI555_MNI152_GS,35
370,mesh.intensity_AICHA_reordered.Template_T1_IXI555_MNI152_GS,36
371,mesh.intensity_AICHA_reordered.Template_T1_IXI555_MNI152_GS,37
372,mesh.intensity_AICHA_reordered.Template_T1_IXI555_MNI152_GS,38
373,mesh.intensity_AICHA_reordered.Template_T1_IXI555_MNI152_GS,39
374,mesh.intensity_AICHA_reordered.Template_T1_IXI555_MNI152_GS,40
375,mesh.intensity_AICHA_reordered.Template_T1_IXI555_MNI152_GS,41
